Transaction_ID,Amount,Merchant_Category,Device_Type,State,Bank,Hour,Is_Night,Fraud_Score,Is_Fraud,Status,Indicators
TXN00000169,2341,Healthcare,Oppo Reno 10,Tamil Nadu,Punjab National Bank,21,0,0.085,0,CLEARED,""
TXN00000380,1531,Healthcare,Vivo V27,Kerala,Punjab National Bank,3,1,0.119,0,CLEARED,""
TXN00000373,3651,Entertainment,iPhone 14,Tamil Nadu,ICICI Bank,6,0,0.064,0,CLEARED,""
TXN00000319,2035,Utility Bills,Vivo V27,Kerala,Axis Bank,15,0,0.196,0,CLEARED,""
TXN00000217,2684,Entertainment,Vivo V27,Tamil Nadu,ICICI Bank,14,0,0.093,0,CLEARED,""
TXN00000170,91,Education,Oppo Reno 10,Maharashtra,Union Bank,7,0,0.239,0,CLEARED,""
TXN00000242,5227,Food & Dining,Redmi Note 12,Kerala,Axis Bank,22,1,0.269,0,CLEARED,""
TXN00000027,5908,Healthcare,Oppo Reno 10,Karnataka,HDFC Bank,7,0,0.305,0,CLEARED,""
TXN00000284,9555,E-commerce,Vivo V27,Gujarat,Bank of Baroda,1,1,0.14,0,CLEARED,""
TXN00000089,2309,Food & Dining,OnePlus 11,Rajasthan,Kotak Mahindra,10,0,0.242,0,CLEARED,""
TXN00000230,1795,Travel,Vivo V27,Rajasthan,Punjab National Bank,23,1,0.184,0,CLEARED,""
TXN00000338,1027,Education,iPhone 14,Maharashtra,Bank of Baroda,5,1,0.277,0,CLEARED,""
TXN00000276,2041,Healthcare,OnePlus 11,Karnataka,Bank of Baroda,5,1,0.269,0,CLEARED,""
TXN00000402,4253,E-commerce,Vivo V27,Delhi,Union Bank,5,1,0.157,0,CLEARED,""
TXN00000379,3642,Education,OnePlus 11,Gujarat,Bank of Baroda,9,0,0.13,0,CLEARED,""
TXN00000369,4227,Utility Bills,Vivo V27,Karnataka,SBI,2,1,0.127,0,CLEARED,""
TXN00000375,3377,Utility Bills,iPhone 14,Rajasthan,Union Bank,8,0,0.23,0,CLEARED,""
TXN00000134,1792,E-commerce,Google Pixel 7,West Bengal,HDFC Bank,6,0,0.142,0,CLEARED,""
TXN00000074,2541,Travel,Oppo Reno 10,West Bengal,HDFC Bank,1,1,0.115,0,CLEARED,""
TXN00000386,373,Education,Vivo V27,Maharashtra,Axis Bank,3,1,0.236,0,CLEARED,""
TXN00000023,8555,Travel,Oppo Reno 10,Delhi,Kotak Mahindra,2,1,0.037,0,CLEARED,""
TXN00000354,7016,Utility Bills,iPhone 14,Uttar Pradesh,Punjab National Bank,16,0,0.173,0,CLEARED,""
TXN00000383,2978,Entertainment,iPhone 14,Kerala,Union Bank,19,0,0.172,0,CLEARED,""
TXN00000420,1634,Entertainment,OnePlus 11,Karnataka,SBI,0,1,0.087,0,CLEARED,""
TXN00000389,5151,E-commerce,Vivo V27,West Bengal,Axis Bank,9,0,0.014,0,CLEARED,""
TXN00000287,100,E-commerce,iPhone 14,West Bengal,Union Bank,19,0,0.229,0,CLEARED,""
TXN00000392,5068,Gas Station,Vivo V27,Uttar Pradesh,Kotak Mahindra,11,0,0.318,0,CLEARED,""
TXN00000101,2611,Food & Dining,Google Pixel 7,Maharashtra,HDFC Bank,2,1,0.328,0,CLEARED,""
TXN00000391,2358,Gas Station,OnePlus 11,Telangana,Axis Bank,23,1,0.055,0,CLEARED,""
TXN00000482,2177,E-commerce,iPhone 14,Tamil Nadu,Punjab National Bank,12,0,0.251,0,CLEARED,""
TXN00000470,1784,Healthcare,OnePlus 11,Delhi,Union Bank,3,1,0.089,0,CLEARED,""
TXN00000263,3260,Healthcare,iPhone 14,West Bengal,Axis Bank,10,0,0.188,0,CLEARED,""
TXN00000295,1337,Education,Google Pixel 7,Rajasthan,HDFC Bank,11,0,0.313,0,CLEARED,""
TXN00000372,7066,Entertainment,OnePlus 11,Karnataka,SBI,16,0,0.28,0,CLEARED,""
TXN00000200,3038,Travel,iPhone 14,Telangana,ICICI Bank,2,1,0.263,0,CLEARED,""
TXN00000050,6393,Food & Dining,Oppo Reno 10,Rajasthan,Bank of Baroda,14,0,0.282,0,CLEARED,""
TXN00000378,5199,Gas Station,OnePlus 11,Uttar Pradesh,Bank of Baroda,14,0,0.121,0,CLEARED,""
TXN00000558,4736,Healthcare,Oppo Reno 10,West Bengal,Punjab National Bank,13,0,0.082,0,CLEARED,""
TXN00000588,3184,Food & Dining,Google Pixel 7,Telangana,Punjab National Bank,8,0,0.11,0,CLEARED,""
TXN00000211,3614,Healthcare,OnePlus 11,Rajasthan,Axis Bank,14,0,0.194,0,CLEARED,""
TXN00000518,3165,Retail,Samsung Galaxy S23,West Bengal,Union Bank,22,1,0.053,0,CLEARED,""
TXN00000487,4271,Food & Dining,Redmi Note 12,Rajasthan,HDFC Bank,2,1,0.04,0,CLEARED,""
TXN00000187,3921,Healthcare,Redmi Note 12,West Bengal,HDFC Bank,8,0,0.215,0,CLEARED,""
TXN00000332,766,E-commerce,Vivo V27,Karnataka,SBI,15,0,0.341,0,CLEARED,""
TXN00000527,3663,Utility Bills,Oppo Reno 10,Kerala,Axis Bank,23,1,0.038,0,CLEARED,""
TXN00000547,3076,Healthcare,Redmi Note 12,Gujarat,Union Bank,4,1,0.014,0,CLEARED,""
TXN00000219,1903,Food & Dining,Samsung Galaxy S23,Kerala,Bank of Baroda,10,0,0.284,0,CLEARED,""
TXN00000037,180,Food & Dining,OnePlus 11,Rajasthan,ICICI Bank,7,0,0.039,0,CLEARED,""
TXN00000500,2589,Retail,Samsung Galaxy S23,Karnataka,Bank of Baroda,19,0,0.14,0,CLEARED,""
TXN00000631,11,Entertainment,iPhone 14,Gujarat,Axis Bank,10,0,0.76,1,FLAGGED,"multiple_attempts;high_amount"
TXN00000118,767,Healthcare,Samsung Galaxy S23,Rajasthan,Axis Bank,19,0,0.344,0,CLEARED,""
TXN00000122,573,Retail,Redmi Note 12,Telangana,ICICI Bank,1,1,0.125,0,CLEARED,""
TXN00000161,7997,E-commerce,Redmi Note 12,Telangana,Bank of Baroda,23,1,0.079,0,CLEARED,""
TXN00000220,6631,Gas Station,iPhone 14,West Bengal,SBI,23,1,0.229,0,CLEARED,""
TXN00000495,1180,Retail,Oppo Reno 10,West Bengal,Union Bank,0,1,0.209,0,CLEARED,""
TXN00000437,7347,Gas Station,Samsung Galaxy S23,Kerala,Punjab National Bank,3,1,0.345,0,CLEARED,""
TXN00000260,1809,Travel,iPhone 14,West Bengal,Union Bank,7,0,0.203,0,CLEARED,""
TXN00000150,8239,Education,Google Pixel 7,Delhi,Union Bank,11,0,0.271,0,CLEARED,""
TXN00000512,1240,Healthcare,Oppo Reno 10,Maharashtra,Union Bank,4,1,0.235,0,CLEARED,""
TXN00000073,2847,Retail,Samsung Galaxy S23,Kerala,SBI,6,0,0.096,0,CLEARED,""
TXN00000031,3489,Education,Vivo V27,Maharashtra,Kotak Mahindra,3,1,0.177,0,CLEARED,""
TXN00000180,3932,Healthcare,OnePlus 11,West Bengal,HDFC Bank,13,0,0.171,0,CLEARED,""
TXN00000491,5327,Entertainment,Redmi Note 12,Gujarat,Kotak Mahindra,14,0,0.255,0,CLEARED,""
TXN00000421,5163,Healthcare,Redmi Note 12,Delhi,HDFC Bank,1,1,0.144,0,CLEARED,""
TXN00000188,325,Education,Google Pixel 7,West Bengal,Bank of Baroda,11,0,0.272,0,CLEARED,""
TXN00000371,6027,Education,Google Pixel 7,Tamil Nadu,Kotak Mahindra,3,1,0.29,0,CLEARED,""
TXN00000407,1358,Entertainment,Oppo Reno 10,Telangana,Union Bank,14,0,0.213,0,CLEARED,""
TXN00000202,5150,Entertainment,OnePlus 11,Tamil Nadu,Union Bank,17,0,0.303,0,CLEARED,""
TXN00000102,5104,Gas Station,Vivo V27,Gujarat,HDFC Bank,3,1,0.286,0,CLEARED,""
TXN00000273,1506,Utility Bills,Google Pixel 7,Maharashtra,Union Bank,3,1,0.343,0,CLEARED,""
TXN00000113,1357,Education,OnePlus 11,Gujarat,HDFC Bank,18,0,0.099,0,CLEARED,""
TXN00000557,2142,E-commerce,Vivo V27,Rajasthan,Kotak Mahindra,15,0,0.3,0,CLEARED,""
TXN00000137,6446,Gas Station,Google Pixel 7,Uttar Pradesh,HDFC Bank,0,1,0.066,0,CLEARED,""
TXN00000493,10284,Utility Bills,OnePlus 11,Kerala,Axis Bank,18,0,0.207,0,CLEARED,""
TXN00000112,1604,Food & Dining,Google Pixel 7,Karnataka,Bank of Baroda,0,1,0.27,0,CLEARED,""
TXN00000451,1034,Food & Dining,Oppo Reno 10,Maharashtra,Union Bank,9,0,0.023,0,CLEARED,""
TXN00000522,808,Retail,Vivo V27,Delhi,ICICI Bank,6,0,0.019,0,CLEARED,""
TXN00000548,3988,Retail,OnePlus 11,Maharashtra,Punjab National Bank,20,0,0.315,0,CLEARED,""
TXN00000524,760,Utility Bills,Google Pixel 7,Tamil Nadu,Union Bank,9,0,0.22,0,CLEARED,""
TXN00000583,6315,Entertainment,iPhone 14,Rajasthan,ICICI Bank,9,0,0.3,0,CLEARED,""
TXN00000159,4495,Food & Dining,OnePlus 11,Kerala,Union Bank,17,0,0.126,0,CLEARED,""
TXN00000333,1454,Education,OnePlus 11,Tamil Nadu,Axis Bank,9,0,0.12,0,CLEARED,""
TXN00000010,6327,Healthcare,Redmi Note 12,Delhi,ICICI Bank,18,0,0.105,0,CLEARED,""
TXN00000196,2359,Travel,Redmi Note 12,Kerala,Punjab National Bank,17,0,0.241,0,CLEARED,""
TXN00000444,4497,Travel,Google Pixel 7,Gujarat,ICICI Bank,16,0,0.262,0,CLEARED,""
TXN00000249,6035,Utility Bills,Redmi Note 12,Tamil Nadu,Union Bank,19,0,0.053,0,CLEARED,""
TXN00000203,3813,Entertainment,Samsung Galaxy S23,Delhi,Union Bank,19,0,0.028,0,CLEARED,""
TXN00000541,1929,Healthcare,Redmi Note 12,West Bengal,ICICI Bank,19,0,0.034,0,CLEARED,""
TXN00000395,6458,Education,Vivo V27,Kerala,Punjab National Bank,5,1,0.194,0,CLEARED,""
TXN00000262,9899,Travel,Google Pixel 7,Kerala,HDFC Bank,14,0,0.257,0,CLEARED,""
TXN00000174,621,E-commerce,Redmi Note 12,Tamil Nadu,Union Bank,7,0,0.309,0,CLEARED,""
TXN00000511,2613,Healthcare,Samsung Galaxy S23,Kerala,Axis Bank,3,1,0.211,0,CLEARED,""
TXN00000012,2041,Food & Dining,Redmi Note 12,Telangana,Union Bank,18,0,0.35,0,CLEARED,""
TXN00000519,1363,E-commerce,Samsung Galaxy S23,Uttar Pradesh,ICICI Bank,19,0,0.066,0,CLEARED,""
TXN00000554,7803,Education,Vivo V27,Maharashtra,Punjab National Bank,18,0,0.288,0,CLEARED,""
TXN00000280,3545,Healthcare,Oppo Reno 10,West Bengal,Axis Bank,9,0,0.128,0,CLEARED,""
TXN00000256,718,Retail,Google Pixel 7,West Bengal,Kotak Mahindra,17,0,0.244,0,CLEARED,""
TXN00000293,803,E-commerce,iPhone 14,Maharashtra,Punjab National Bank,11,0,0.338,0,CLEARED,""
TXN00000565,3705,Healthcare,Redmi Note 12,Gujarat,Kotak Mahindra,17,0,0.126,0,CLEARED,""
TXN00000537,1504,Utility Bills,iPhone 14,Tamil Nadu,SBI,17,0,0.222,0,CLEARED,""
TXN00000294,1497,Gas Station,Redmi Note 12,Kerala,Axis Bank,3,1,0.264,0,CLEARED,""
TXN00000516,12624,Travel,Oppo Reno 10,West Bengal,HDFC Bank,2,1,0.074,0,CLEARED,""
TXN00000316,150,Utility Bills,iPhone 14,West Bengal,HDFC Bank,17,0,0.264,0,CLEARED,""
TXN00000177,4932,Gas Station,Vivo V27,Delhi,Bank of Baroda,0,1,0.223,0,CLEARED,""
TXN00000281,2631,Education,Samsung Galaxy S23,Maharashtra,Bank of Baroda,14,0,0.235,0,CLEARED,""
TXN00000114,7212,Healthcare,Oppo Reno 10,Telangana,SBI,22,1,0.236,0,CLEARED,""
TXN00000348,2571,Food & Dining,Vivo V27,Rajasthan,Punjab National Bank,17,0,0.299,0,CLEARED,""
TXN00000306,4037,Healthcare,Samsung Galaxy S23,Kerala,Kotak Mahindra,0,1,0.025,0,CLEARED,""
TXN00000176,2670,Travel,Vivo V27,Telangana,HDFC Bank,21,0,0.276,0,CLEARED,""
TXN00000090,358,Travel,Vivo V27,Rajasthan,ICICI Bank,23,1,0.347,0,CLEARED,""
TXN00000098,6333,Education,Oppo Reno 10,West Bengal,Axis Bank,6,0,0.063,0,CLEARED,""
TXN00000235,6650,Education,Samsung Galaxy S23,Kerala,Axis Bank,10,0,0.018,0,CLEARED,""
TXN00000322,76,Healthcare,Oppo Reno 10,Uttar Pradesh,HDFC Bank,1,1,0.163,0,CLEARED,""
TXN00000181,1288,Food & Dining,Samsung Galaxy S23,Uttar Pradesh,HDFC Bank,4,1,0.02,0,CLEARED,""
TXN00000463,1741,Gas Station,Google Pixel 7,West Bengal,SBI,3,1,0.286,0,CLEARED,""
TXN00000193,1433,Healthcare,Google Pixel 7,West Bengal,Punjab National Bank,19,0,0.105,0,CLEARED,""
TXN00000503,4339,Gas Station,Samsung Galaxy S23,West Bengal,HDFC Bank,7,0,0.16,0,CLEARED,""
TXN00000028,2651,Food & Dining,iPhone 14,Gujarat,HDFC Bank,12,0,0.149,0,CLEARED,""
TXN00000002,1046,Utility Bills,Vivo V27,Gujarat,HDFC Bank,1,1,0.203,0,CLEARED,""
TXN00000531,1974,Retail,OnePlus 11,Rajasthan,ICICI Bank,9,0,0.298,0,CLEARED,""
TXN00000501,3650,Healthcare,iPhone 14,West Bengal,Kotak Mahindra,11,0,0.141,0,CLEARED,""
TXN00000068,1230,Utility Bills,Samsung Galaxy S23,Kerala,Union Bank,4,1,0.333,0,CLEARED,""
TXN00000579,4043,Utility Bills,iPhone 14,Maharashtra,SBI,15,0,0.342,0,CLEARED,""
TXN00000352,5224,Healthcare,Google Pixel 7,Delhi,Union Bank,4,1,0.018,0,CLEARED,""
TXN00000486,5559,Education,Vivo V27,Uttar Pradesh,Punjab National Bank,10,0,0.309,0,CLEARED,""
TXN00000523,2570,Retail,Oppo Reno 10,Maharashtra,Punjab National Bank,23,1,0.09,0,CLEARED,""
TXN00000061,3593,Education,Oppo Reno 10,Maharashtra,Axis Bank,15,0,0.149,0,CLEARED,""
TXN00000445,1310,Education,Google Pixel 7,Gujarat,Axis Bank,4,1,0.043,0,CLEARED,""
TXN00000464,9971,Gas Station,Samsung Galaxy S23,Delhi,Axis Bank,17,0,0.296,0,CLEARED,""
TXN00000382,1718,E-commerce,Samsung Galaxy S23,Uttar Pradesh,SBI,20,0,0.076,0,CLEARED,""
TXN00000015,6386,Education,Samsung Galaxy S23,Kerala,SBI,19,0,0.218,0,CLEARED,""
TXN00000422,1076,Gas Station,Vivo V27,Rajasthan,Kotak Mahindra,12,0,0.219,0,CLEARED,""
TXN00000040,2649,Healthcare,iPhone 14,Rajasthan,HDFC Bank,0,1,0.08,0,CLEARED,""
TXN00000238,4414,Education,Oppo Reno 10,Uttar Pradesh,Kotak Mahindra,3,1,0.01,0,CLEARED,""
TXN00000151,1468,Retail,Samsung Galaxy S23,Uttar Pradesh,HDFC Bank,7,0,0.117,0,CLEARED,""
TXN00000045,4432,Education,Redmi Note 12,Kerala,Axis Bank,7,0,0.119,0,CLEARED,""
TXN00000535,1442,Entertainment,OnePlus 11,West Bengal,Kotak Mahindra,16,0,0.041,0,CLEARED,""
TXN00000163,364,Education,Redmi Note 12,West Bengal,Axis Bank,15,0,0.074,0,CLEARED,""
TXN00000318,9309,Utility Bills,Samsung Galaxy S23,West Bengal,SBI,21,0,0.166,0,CLEARED,""
TXN00000123,2043,E-commerce,Google Pixel 7,Delhi,Bank of Baroda,0,1,0.273,0,CLEARED,""
TXN00000236,973,Travel,Samsung Galaxy S23,Karnataka,ICICI Bank,12,0,0.188,0,CLEARED,""
TXN00000543,2263,E-commerce,OnePlus 11,Delhi,Bank of Baroda,2,1,0.326,0,CLEARED,""
TXN00000393,7523,Healthcare,Google Pixel 7,West Bengal,ICICI Bank,9,0,0.301,0,CLEARED,""
TXN00000510,343,Healthcare,Samsung Galaxy S23,Maharashtra,Axis Bank,5,1,0.016,0,CLEARED,""
TXN00000069,451,Food & Dining,OnePlus 11,Rajasthan,Kotak Mahindra,22,1,0.186,0,CLEARED,""
TXN00000195,1002,Gas Station,Oppo Reno 10,Gujarat,HDFC Bank,7,0,0.157,0,CLEARED,""
TXN00000087,252,Retail,Redmi Note 12,Maharashtra,Punjab National Bank,19,0,0.289,0,CLEARED,""
TXN00000162,1210,Gas Station,Samsung Galaxy S23,West Bengal,ICICI Bank,12,0,0.097,0,CLEARED,""
TXN00000053,5888,Travel,Samsung Galaxy S23,Tamil Nadu,Union Bank,13,0,0.256,0,CLEARED,""
TXN00000058,5151,Gas Station,OnePlus 11,Kerala,HDFC Bank,5,1,0.183,0,CLEARED,""
TXN00000553,281,Entertainment,Google Pixel 7,West Bengal,ICICI Bank,18,0,0.32,0,CLEARED,""
TXN00000406,2375,Food & Dining,Redmi Note 12,Tamil Nadu,Kotak Mahindra,21,0,0.013,0,CLEARED,""
TXN00000533,3853,Travel,Google Pixel 7,West Bengal,Punjab National Bank,23,1,0.203,0,CLEARED,""
TXN00000589,5382,Education,Oppo Reno 10,Delhi,SBI,4,1,0.164,0,CLEARED,""
TXN00000299,2184,Utility Bills,iPhone 14,Tamil Nadu,Bank of Baroda,16,0,0.103,0,CLEARED,""
TXN00000126,10555,Food & Dining,Google Pixel 7,Kerala,SBI,2,1,0.341,0,CLEARED,""
TXN00000222,5081,E-commerce,iPhone 14,Rajasthan,ICICI Bank,14,0,0.02,0,CLEARED,""
TXN00000046,4584,Retail,Samsung Galaxy S23,Maharashtra,Axis Bank,8,0,0.283,0,CLEARED,""
TXN00000608,5846,Travel,Redmi Note 12,Karnataka,Punjab National Bank,13,0,0.204,0,CLEARED,""
TXN00000433,8428,Travel,iPhone 14,Karnataka,ICICI Bank,12,0,0.185,0,CLEARED,""
TXN00000364,1400,Healthcare,OnePlus 11,Telangana,SBI,1,1,0.151,0,CLEARED,""
TXN00000447,1416,Travel,Samsung Galaxy S23,Maharashtra,Axis Bank,8,0,0.197,0,CLEARED,""
TXN00000428,2760,E-commerce,Google Pixel 7,West Bengal,Union Bank,7,0,0.03,0,CLEARED,""
TXN00000063,2173,E-commerce,Oppo Reno 10,Delhi,Punjab National Bank,6,0,0.085,0,CLEARED,""
TXN00000597,3586,Education,Google Pixel 7,Gujarat,ICICI Bank,1,1,0.108,0,CLEARED,""
TXN00000452,7135,Gas Station,OnePlus 11,Kerala,Union Bank,1,1,0.223,0,CLEARED,""
TXN00000109,3257,E-commerce,iPhone 14,Kerala,Axis Bank,17,0,0.091,0,CLEARED,""
TXN00000286,5336,Travel,Samsung Galaxy S23,Maharashtra,SBI,10,0,0.213,0,CLEARED,""
TXN00000601,879,E-commerce,iPhone 14,Maharashtra,Punjab National Bank,1,1,0.173,0,CLEARED,""
TXN00000561,3506,Education,OnePlus 11,Kerala,Kotak Mahindra,9,0,0.312,0,CLEARED,""
TXN00000492,2289,Utility Bills,Oppo Reno 10,Uttar Pradesh,Bank of Baroda,2,1,0.241,0,CLEARED,""
TXN00000509,793,Utility Bills,iPhone 14,Maharashtra,Punjab National Bank,9,0,0.172,0,CLEARED,""
TXN00000199,4116,Food & Dining,Google Pixel 7,Maharashtra,Bank of Baroda,4,1,0.267,0,CLEARED,""
TXN00000590,2184,E-commerce,Redmi Note 12,Gujarat,Bank of Baroda,11,0,0.338,0,CLEARED,""
TXN00000016,916,Entertainment,Vivo V27,West Bengal,Axis Bank,5,1,0.113,0,CLEARED,""
TXN00000064,1092,Healthcare,iPhone 14,Uttar Pradesh,SBI,19,0,0.281,0,CLEARED,""
TXN00000458,1904,Gas Station,Redmi Note 12,Delhi,Union Bank,2,1,0.108,0,CLEARED,""
TXN00000415,4742,Travel,iPhone 14,Gujarat,SBI,10,0,0.112,0,CLEARED,""
TXN00000071,2822,Utility Bills,Samsung Galaxy S23,Karnataka,Axis Bank,2,1,0.288,0,CLEARED,""
TXN00000266,956,Travel,iPhone 14,Kerala,SBI,1,1,0.046,0,CLEARED,""
TXN00000520,1273,E-commerce,Google Pixel 7,West Bengal,SBI,8,0,0.107,0,CLEARED,""
TXN00000301,564,Entertainment,iPhone 14,Gujarat,ICICI Bank,0,1,0.245,0,CLEARED,""
TXN00000132,1309,Healthcare,Samsung Galaxy S23,Delhi,Kotak Mahindra,14,0,0.347,0,CLEARED,""
TXN00000399,6328,E-commerce,iPhone 14,Telangana,Punjab National Bank,18,0,0.02,0,CLEARED,""
TXN00000559,21,Education,Oppo Reno 10,Rajasthan,Bank of Baroda,2,1,0.118,0,CLEARED,""
TXN00000610,5824,Utility Bills,Oppo Reno 10,Uttar Pradesh,SBI,10,0,0.127,0,CLEARED,""
TXN00000353,547,Travel,Oppo Reno 10,Delhi,Punjab National Bank,18,0,0.186,0,CLEARED,""
TXN00000600,2552,Retail,Vivo V27,Tamil Nadu,ICICI Bank,15,0,0.216,0,CLEARED,""
TXN00000570,7990,E-commerce,iPhone 14,Delhi,Union Bank,3,1,0.254,0,CLEARED,""
TXN00000290,7164,Travel,iPhone 14,Uttar Pradesh,Kotak Mahindra,6,0,0.044,0,CLEARED,""
TXN00000448,11644,E-commerce,OnePlus 11,Delhi,ICICI Bank,6,0,0.185,0,CLEARED,""
TXN00000272,5328,Entertainment,Samsung Galaxy S23,Karnataka,Union Bank,15,0,0.015,0,CLEARED,""
TXN00000128,5773,E-commerce,Oppo Reno 10,Uttar Pradesh,ICICI Bank,12,0,0.157,0,CLEARED,""
TXN00000549,6882,Gas Station,Redmi Note 12,Karnataka,Union Bank,18,0,0.133,0,CLEARED,""
TXN00000307,293,Gas Station,Google Pixel 7,Telangana,HDFC Bank,13,0,0.287,0,CLEARED,""
TXN00000484,5371,Utility Bills,Redmi Note 12,Delhi,Union Bank,2,1,0.126,0,CLEARED,""
TXN00000320,12394,Healthcare,Oppo Reno 10,Telangana,Axis Bank,14,0,0.047,0,CLEARED,""
TXN00000504,1628,Education,Google Pixel 7,West Bengal,Axis Bank,3,1,0.164,0,CLEARED,""
TXN00000129,2676,Gas Station,Google Pixel 7,Maharashtra,Kotak Mahindra,17,0,0.238,0,CLEARED,""
TXN00000572,4685,Healthcare,Google Pixel 7,Rajasthan,Punjab National Bank,10,0,0.264,0,CLEARED,""
TXN00000581,11671,E-commerce,OnePlus 11,Kerala,Union Bank,17,0,0.209,0,CLEARED,""
TXN00000626,753,Retail,Redmi Note 12,Tamil Nadu,HDFC Bank,0,1,0.196,0,CLEARED,""
TXN00000624,1996,Healthcare,Samsung Galaxy S23,West Bengal,SBI,1,1,0.19,0,CLEARED,""
TXN00000594,367,Education,Vivo V27,Uttar Pradesh,Punjab National Bank,15,0,0.049,0,CLEARED,""
TXN00000198,3015,Gas Station,Samsung Galaxy S23,Gujarat,ICICI Bank,19,0,0.038,0,CLEARED,""
TXN00000006,36,Gas Station,Google Pixel 7,Telangana,Punjab National Bank,8,0,0.02,0,CLEARED,""
TXN00000591,2129,Gas Station,iPhone 14,Gujarat,Bank of Baroda,12,0,0.302,0,CLEARED,""
TXN00000324,4579,Education,OnePlus 11,Rajasthan,SBI,21,0,0.023,0,CLEARED,""
TXN00000453,1717,Travel,Samsung Galaxy S23,Tamil Nadu,Axis Bank,5,1,0.151,0,CLEARED,""
TXN00000560,2154,E-commerce,Google Pixel 7,Tamil Nadu,Punjab National Bank,10,0,0.17,0,CLEARED,""
TXN00000312,762,Food & Dining,Redmi Note 12,Kerala,SBI,22,1,0.097,0,CLEARED,""
TXN00000121,5029,Utility Bills,OnePlus 11,Maharashtra,Axis Bank,13,0,0.166,0,CLEARED,""
TXN00000043,3148,Education,OnePlus 11,Maharashtra,HDFC Bank,9,0,0.162,0,CLEARED,""
TXN00000154,8938,Education,Google Pixel 7,Kerala,Punjab National Bank,7,0,0.165,0,CLEARED,""
TXN00000604,5734,Gas Station,Redmi Note 12,Tamil Nadu,Kotak Mahindra,8,0,0.338,0,CLEARED,""
TXN00000623,5951,Entertainment,Oppo Reno 10,Gujarat,Punjab National Bank,6,0,0.242,0,CLEARED,""
TXN00000618,218,Gas Station,Vivo V27,Uttar Pradesh,ICICI Bank,14,0,0.012,0,CLEARED,""
TXN00000088,447,Utility Bills,Google Pixel 7,Maharashtra,SBI,22,1,0.167,0,CLEARED,""
TXN00000308,4543,Entertainment,iPhone 14,Maharashtra,Punjab National Bank,7,0,0.221,0,CLEARED,""
TXN00000051,2174,Entertainment,Samsung Galaxy S23,Gujarat,Union Bank,0,1,0.185,0,CLEARED,""
TXN00000254,5073,Food & Dining,Redmi Note 12,Delhi,Axis Bank,22,1,0.238,0,CLEARED,""
TXN00000398,2492,Retail,iPhone 14,Gujarat,SBI,7,0,0.133,0,CLEARED,""
TXN00000275,3502,Education,Google Pixel 7,Rajasthan,SBI,23,1,0.226,0,CLEARED,""
TXN00000131,3123,Healthcare,Redmi Note 12,Uttar Pradesh,SBI,3,1,0.319,0,CLEARED,""
TXN00000330,6841,Gas Station,OnePlus 11,Maharashtra,HDFC Bank,12,0,0.248,0,CLEARED,""
TXN00000142,4615,Food & Dining,Samsung Galaxy S23,Rajasthan,Union Bank,11,0,0.079,0,CLEARED,""
